o111 o111
0 0.5221738532
1 0.6989766961
2 0.8445820452
3 0.9415962363
4 0.9881191477
5 0.9881191477
6 0.9415962364
7 0.8445820452
8 0.6989766961
9 0.5221738532
10 0.5659395154
11 0.7575609736
12 0.9153701405
13 1.0205155130
14 1.0709377120
15 1.0709377120
16 1.0205155131
17 0.9153701405
18 0.7575609736
19 0.5659395154
20 0.6011256420
21 0.8046607706
22 0.9722813982
23 1.0839639682
24 1.1375210639
25 1.1375210638
26 1.0839639683
27 0.9722813982
28 0.8046607706
29 0.6011256419
30 0.6257756487
31 0.8376570230
32 1.0121511714
33 1.1284134431
34 1.1841667232
35 1.1841667231
36 1.1284134431
37 1.0121511714
38 0.8376570230
39 0.6257756487
40 0.6384726714
41 0.8546531307
42 1.0326877751
43 1.1513090147
44 1.2081935319
45 1.2081935319
46 1.1513090147
47 1.0326877750
48 0.8546531307
49 0.6384726714
50 0.6384726714
51 0.8546531307
52 1.0326877751
53 1.1513090147
54 1.2081935319
55 1.2081935319
56 1.1513090147
57 1.0326877750
58 0.8546531307
59 0.6384726714
60 0.6257756487
61 0.8376570230
62 1.0121511714
63 1.1284134431
64 1.1841667232
65 1.1841667231
66 1.1284134431
67 1.0121511714
68 0.8376570230
69 0.6257756487
70 0.6011256420
71 0.8046607706
72 0.9722813982
73 1.0839639682
74 1.1375210639
75 1.1375210638
76 1.0839639683
77 0.9722813982
78 0.8046607706
79 0.6011256419
80 0.5659395154
81 0.7575609736
82 0.9153701405
83 1.0205155130
84 1.0709377120
85 1.0709377120
86 1.0205155131
87 0.9153701405
88 0.7575609736
89 0.5659395154
90 0.5221738532
91 0.6989766961
92 0.8445820452
93 0.9415962363
94 0.9881191477
95 0.9881191477
96 0.9415962364
97 0.8445820452
98 0.6989766961
99 0.5221738532
o111 o112
0 0.1173783146
1 0.2284770648
2 0.3755533413
3 0.5223744807
4 0.6158204181
5 0.6158204180
6 0.5223744807
7 0.3755533413
8 0.2284770648
9 0.1173783146
10 0.1031663129
11 0.2008133822
12 0.3300818693
13 0.4591261110
14 0.5412577453
15 0.5412577453
16 0.4591261110
17 0.3300818693
18 0.2008133822
19 0.1031663129
20 0.0892228913
21 0.1736724913
22 0.2854697230
23 0.3970730171
24 0.4681041675
25 0.4681041675
26 0.3970730171
27 0.2854697230
28 0.1736724913
29 0.0892228913
30 0.0758831939
31 0.1477067504
32 0.2427891994
33 0.3377067064
34 0.3981180031
35 0.3981180030
36 0.3377067064
37 0.2427891994
38 0.1477067504
39 0.0758831939
40 0.0634311876
41 0.1234689015
42 0.2029488541
43 0.2822909307
44 0.3327890726
45 0.3327890726
46 0.2822909307
47 0.2029488541
48 0.1234689015
49 0.0634311876
50 0.0520860174
51 0.1013855107
52 0.1666498445
53 0.2318009624
54 0.2732671118
55 0.2732671118
56 0.2318009624
57 0.1666498445
58 0.1013855107
59 0.0520860174
60 0.0419943228
61 0.0817420120
62 0.1343613450
63 0.1868893979
64 0.2203214579
65 0.2203214579
66 0.1868893979
67 0.1343613450
68 0.0817420120
69 0.0419943228
70 0.0332290690
71 0.0646804324
72 0.1063168092
73 0.1478809582
74 0.1743349204
75 0.1743349204
76 0.1478809583
77 0.1063168092
78 0.0646804324
79 0.0332290690
80 0.0257945240
81 0.0502090796
82 0.0825298925
83 0.1147946376
84 0.1353298914
85 0.1353298914
86 0.1147946376
87 0.0825298925
88 0.0502090796
89 0.0257945240
90 0.0196362242
91 0.0382219398
92 0.0628263376
93 0.0873880535
94 0.1030206291
95 0.1030206291
96 0.0873880535
97 0.0628263376
98 0.0382219398
99 0.0196362242
o111 o113
0 0.0014409244
1 0.0022348996
2 0.0030461074
3 0.0037018873
4 0.0040645668
5 0.0040645668
6 0.0037018873
7 0.0030461074
8 0.0022348996
9 0.0014409244
10 0.0008741635
11 0.0013558433
12 0.0018479775
13 0.0022458185
14 0.0024658448
15 0.0024658448
16 0.0022458185
17 0.0018479775
18 0.0013558433
19 0.0008741635
20 0.0005187988
21 0.0008046662
22 0.0010967381
23 0.0013328489
24 0.0014634301
25 0.0014634301
26 0.0013328489
27 0.0010967381
28 0.0008046662
29 0.0005187988
30 0.0003011714
31 0.0004671223
32 0.0006366750
33 0.0007737413
34 0.0008495459
35 0.0008495459
36 0.0007737413
37 0.0006366750
38 0.0004671223
39 0.0003011714
40 0.0001709996
41 0.0002652234
42 0.0003614923
43 0.0004393160
44 0.0004823564
45 0.0004823564
46 0.0004393160
